yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
129392022,12939,2022,NY0010100,NY0010100,,N,N,,I,ALBANY,ALBANY CITY PD ALBANY,Albany,,A,38,New York,NY,NY,2,Middle Atlantic,1,Northeast,Region I,City,98104,23384,NYUCR0001,New York State Division of Criminal Justice Services Office of Justice Research and Performance,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,268,36,304,26,43,69,3.0,3.8,2019-01-01,2020-11-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,ALBANY,"Albany-Schenectady-Troy, NY",Y,Y,Y
129462022,12946,2022,NY0015100,NY0015100,,N,N,,I,BETHLEHEM TOWN,BETHLEHEM TOWN PD DELMAR,Bethlehem Town,,A,38,New York,NY,NY,2,Middle Atlantic,1,Northeast,Region I,City,34872,23384,NYUCR0001,New York State Division of Criminal Justice Services Office of Justice Research and Performance,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,32,6,38,5,9,14,1.1,1.5,2019-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,ALBANY,"Albany-Schenectady-Troy, NY",Y,Y,Y
129482022,12948,2022,NY0015300,NY0015300,,N,N,,I,COLONIE TOWN,COLONIE TOWN PD LATHAM,Colonie Town,,A,38,New York,NY,NY,2,Middle Atlantic,1,Northeast,Region I,City,81035,23384,NYUCR0001,New York State Division of Criminal Justice Services Office of Justice Research and Performance,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,107,28,135,7,17,24,1.4,2.0,2019-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,ALBANY,"Albany-Schenectady-Troy, NY",Y,Y,Y
129682022,12968,2022,NY0030000,NY0030000,,N,N,,I,BROOME,BROOME CO SHERIFF'S DEPARTMENT BINGHAMTON,Broome,,A,38,New York,NY,NY,2,Middle Atlantic,1,Northeast,Region I,County,90751,23384,NYUCR0001,New York State Division of Criminal Justice Services Office of Justice Research and Performance,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,55,8,63,4,14,18,0.7,0.9,2019-01-01,2020-01-01,2020-01-01,2020-01-01,2020-01-01,2020-01-01,N,BROOME,"Binghamton, NY",Y,Y,Y
129692022,12969,2022,NY0030100,NY0030100,,N,N,,I,BINGHAMTON,BINGHAMTON CITY PD BINGHAMTON,Binghamton,,A,38,New York,NY,NY,2,Middle Atlantic,1,Northeast,Region I,City,47259,23384,NYUCR0001,New York State Division of Criminal Justice Services Office of Justice Research and Performance,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,112,3,115,12,8,20,2.6,2.9,2019-01-01,2019-01-01,2019-01-01,2020-01-01,2020-01-01,2020-01-01,N,BROOME,"Binghamton, NY",Y,Y,Y
129702022,12970,2022,NY0030200,NY0030200,,N,N,,I,ENDICOTT VILLAGE,ENDICOTT VILLAGE PD ENDICOTT,Endicott Village,,A,38,New York,NY,NY,2,Middle Atlantic,1,Northeast,Region I,City,13397,23384,NYUCR0001,New York State Division of Criminal Justice Services Office of Justice Research and Performance,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,28,0,28,4,2,6,2.4,2.5,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,N,BROOME,"Binghamton, NY",Y,Y,Y
129712022,12971,2022,NY0030300,NY0030300,,N,N,,I,JOHNSON CITY VILLAGE,JOHNSON CITY VILLAGE PD JOHNSON CITY,Johnson City Village,,A,38,New York,NY,NY,2,Middle Atlantic,1,Northeast,Region I,City,15107,23384,NYUCR0001,New York State Division of Criminal Justice Services Office of Justice Research and Performance,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,39,2,41,2,2,4,2.7,3.0,2019-01-01,2019-01-01,2019-01-01,2020-01-01,2020-01-01,2020-01-01,N,BROOME,"Binghamton, NY",Y,Y,Y
129762022,12976,2022,NY0036400,NY0036400,,N,N,,I,VESTAL TOWN,VESTAL TOWN PD VESTAL,Vestal Town,,A,38,New York,NY,NY,2,Middle Atlantic,1,Northeast,Region I,City,29553,23384,NYUCR0001,New York State Division of Criminal Justice Services Office of Justice Research and Performance,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,36,1,37,4,3,7,1.4,1.5,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,N,BROOME,"Binghamton, NY",Y,Y,Y
129782022,12978,2022,NY0040000,NY0040000,,N,N,,I,CATTARAUGUS,CATTARAUGUS CO SHERIFF'S DEPT LITTLE VALLEY,Cattaraugus,,A,38,New York,NY,NY,2,Middle Atlantic,1,Northeast,Region I,County,48863,23384,NYUCR0001,New York State Division of Criminal Justice Services Office of Justice Research and Performance,N,14,8B,"Non-MSA counties from 25,000 thru 99,999",8,Non-MSA Counties,N,14,,Y,45,8,53,9,19,28,1.1,1.7,2019-01-01,2020-12-01,2020-12-01,2020-12-01,2020-12-01,2020-12-01,N,CATTARAUGUS,Not Specified,Y,Y,Y
129792022,12979,2022,NY0040100,NY0040100,,N,N,,I,OLEAN,OLEAN CITY PD OLEAN,Olean,,A,38,New York,NY,NY,2,Middle Atlantic,1,Northeast,Region I,City,13671,23384,NYUCR0001,New York State Division of Criminal Justice Services Office of Justice Research and Performance,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,34,1,35,1,5,6,2.6,3.0,2019-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,CATTARAUGUS,Not Specified,Y,Y,Y
