"DATA_YEAR","OFFENSE_ID","INCIDENT_ID","OFFENSE_TYPE_ID","ATTEMPT_COMPLETE_FLAG","LOCATION_ID","NUM_PREMISES_ENTERED","METHOD_ENTRY_CODE"
2020,153250367,126744299,14,"C",18,,""
2020,153250370,126744302,5,"C",41,,""
2020,153250345,126744278,51,"C",20,,""
2020,153250346,126744279,5,"C",20,,""
2020,153250347,126744280,16,"C",13,,""
2020,153250349,126744282,45,"C",46,,""
2020,153250350,126744283,16,"C",25,,""
2020,153250351,126744284,5,"C",25,,""
2020,153250352,126744285,51,"C",25,,""
2020,153166195,126665647,45,"C",20,,""
2020,153166198,126665650,45,"C",20,,""
2020,153166200,126665652,47,"C",20,,""
2020,153166203,126665654,49,"C",5,,"F"
2020,153166246,126665690,23,"C",8,,""
2020,153166247,126665691,14,"C",18,,""
2020,153166249,126665691,5,"C",18,,""
2020,153166248,126665691,7,"C",18,,""
2020,153166253,126665695,23,"C",46,,""
2020,153166255,126665697,51,"C",20,,""
2020,153166256,126665698,14,"A",20,,""
2020,163321271,135668371,45,"C",25,,""
2020,163321276,135668375,35,"C",13,,""
2020,163321277,135668375,16,"C",13,,""
2020,163321283,135668379,23,"C",8,,""
2020,163321290,135668385,45,"C",20,,""
2020,163321289,135668385,63,"C",20,,""
2020,163321305,135668395,51,"C",46,,""
2020,163321311,135668399,45,"C",13,,""
2020,163321325,135668410,16,"C",13,,""
2020,163321324,135668410,39,"C",13,,""
2020,163321381,135668453,63,"C",25,,""
2020,163321393,135668463,5,"C",13,,""
2020,163321401,135668471,44,"C",13,,""
2020,163321407,135668476,5,"C",7,,""
2020,163321406,135668476,44,"C",7,,""
2020,163321424,135668488,2,"C",47,,""
2020,163321428,135668492,5,"C",13,,""
2020,163321433,135668495,27,"C",20,,""
2020,163321432,135668495,5,"C",20,,""
2020,163321431,135668495,39,"C",20,,""
2020,163321434,135668496,7,"C",20,,""
2020,163321439,135668500,47,"C",20,,""
2020,163321442,135668503,5,"C",20,,""
2020,163321447,135668508,21,"C",13,,""
2020,163321452,135668512,5,"C",20,,""
2020,163321517,135668563,44,"C",13,,""
2020,163321519,135668564,16,"C",13,,""
2020,163321518,135668564,5,"C",13,,""
2020,163321520,135668565,32,"C",13,,""
2020,163321523,135668568,5,"C",20,,""
2020,163321529,135668573,51,"C",20,,""
2020,163321530,135668573,47,"C",20,,""
2020,163321533,135668576,45,"C",18,,""
2020,163321539,135668582,14,"C",6,,""
2020,163321546,135668587,21,"C",13,,""
2020,163321553,135668592,51,"C",20,,""
2020,163321554,135668592,5,"C",20,,""
2020,163321557,135668594,5,"C",20,,""
2020,163321556,135668594,7,"C",20,,""
2020,163321563,135668600,44,"C",47,,""
2020,163321565,135668602,7,"C",13,,""
2020,163321571,135668608,14,"C",13,,""
2020,163321572,135668608,28,"C",13,,""
2020,163321573,135668608,21,"C",13,,""
2020,163321575,135668610,44,"C",47,,""
2020,163321576,135668610,7,"C",13,,""
2020,163321583,135668616,44,"C",47,,""
2020,163321584,135668616,5,"C",13,,""
2020,163321589,135668621,47,"C",20,,""
2020,163321592,135668624,51,"C",18,,""
2020,163321597,135668628,40,"C",7,,""
2020,163321601,135668631,51,"C",20,,""
2020,163321603,135668633,44,"C",47,,""
2020,163321613,135668642,45,"C",18,,""
2020,163321616,135668645,51,"C",20,,""
2020,163321617,135668645,5,"C",20,,""
2020,163321620,135668648,51,"C",20,,""
2020,163321626,135668653,5,"C",20,,""
2020,163321632,135668658,51,"C",13,,""
